1998, D57,  Phys.Rev., Harada & Heinzl,  Variational Mass Perturbation Theory for Light-Front Bound-State  Equations
1997, B409,  Phys.Lett., Townsend,  Membrane tension and manifest IIB S-duality
1997, B503,  Nucl.Phys., Figueroa-O'Farrill & Koehl & Spence,  Supersymmetry and the cohomology of (hyper)Kaehler manifolds
1998, B509,  Nucl.Phys., Hull,  Gravitational Duality, Branes and Charges
1997, D56,  Phys.Rev., Kakushadze & Shiu,  A Chiral N=1 Type I Vacuum in Four Dimensions and Its Heterotic Dual
1997, B412,  Phys.Lett., Das,  Emission from parallel p-brane Black Holes
1998, A13,  Int.J.Mod.Phys., Masuda & Sasaki & Suzuki,  Seiberg-Witten Theory of Rank Two Gauge Groups and Hypergeometric Series
1997, B411,  Phys.Lett., Samuel,  Solutions of Extended Supersymmetric Matrix Models for Arbitrary Gauge  Groups
1998, A31,  J.Phys., Rochev,  On solving Schwinger-Dyson equations for non-Abelian gauge theory
1998, B510,  Nucl.Phys., Behrndt & Lust & Sabra,  Stationary solutions of N=2 supergravity
1997, B405,  Phys.Lett., Zhdanov,  On quasi-exactly solvable matrix models
1997, B507,  Nucl.Phys., Andreas & Curio & Lust,  N=1 Dual String Pairs and their Massless Spectra
1998, B516,  Nucl.Phys., Berkooz & Rozali,  String Dualities from Matrix Theory
1999, A14,  Mod.Phys.Lett., Mukherjee,  Gap equation in scalar field theory at finite temperature
1997, A30,  J.Phys., Cabra & Honecker & Mussardo & Pujol,  A Non-Perturbative Approach to the Random-Bond Ising Model
1998, B512,  Nucl.Phys., Yung,  Higher Derivative Terms in the Effective Action of N=2 SUSY QCD from  Instantons
1997, B409,  Phys.Lett., Shah & Thomas,  Finite Soft Terms in String Compactifications with Broken Supersymmetry
1998, B514,  Nucl.Phys., Tsutsui & Tanimura & Kobayashi,  Quantum Mechanically Induced Hopf Term in the O(3) Nonlinear Sigma Model
1997, A30,  J.Phys., Doikou & Mezincescu & Nepomechie,  Simplified Calculation of Boundary S Matrices
1998, B511,  Nucl.Phys., Ganor & Gopakumar & Ramgoolam,  Higher Loop Effects in M(atrix) Orbifolds
1998, D57,  Phys.Rev., Arkani-Hamed & Murayama,  Renormalization Group Invariance of Exact Results in Supersymmetric  Gauge Theories
1997, B408,  Phys.Lett., Banks & Fischler & Seiberg & Susskind,  Instantons, Scale Invariance and Lorentz Invariance in Matrix Theory
1997, B404,  Phys.Lett., Kalmykov & Kazakov,  On calculation of the off-shell renormalization functions in the R^2  gravity
1997, D56,  Phys.Rev., Kaloper & Meissner,  Duality Beyond the First Loop
1998, D57,  Phys.Rev., Polyakov,  Ghost Number Cohomologies and M-theory Quantum States
1998, D58,  Phys.Rev., Mukherjee,  Magnetic Vortices in a Gauged O(3) Sigma Model with Symmetry Breaking  Self-Interaction
1997, B409,  Phys.Lett., Curio,  Chiral Multiplets in N=1 Dual String Pairs
1998, D57,  Phys.Rev., Dilkes & McKeon & Nguyen,  The Yukawa Coupling in Three Dimensions
1997, B507,  Nucl.Phys., Landsteiner & Lopez & Lowe,  N=2 Supersymmetric Gauge Theories, Branes and Orientifolds
1997, B497,  Nucl.Phys., McArthur & Gargett,  A ``Gaussian'' Approach to Computing Supersymmetric Effective Actions
1997, B504,  Nucl.Phys., Ambjorn & Kristjansen & Watabiki,  The Two-point Function of c=-2 Matter Coupled to 2D Quantum Gravity
1998, A13,  Int.J.Mod.Phys., Dabrowski & Nesti & Siniscalco,  A Finite Quantum Symmetry of M(3,C)
1997, D56,  Phys.Rev., Bars & Kounnas,  String and Particle with Two Times
1998, B513,  Nucl.Phys., Satoh,  Ghost-free and Modular Invariant Spectra of a String in SL(2,R) and  Three Dimensional Black Hole Geometry
1998, B513,  Nucl.Phys., Sharpe,  Extremal Transitions in Heterotic String Theory
1997, B507,  Nucl.Phys., Dhar,  The emergence of space-time gravitational physics as an effective theory  from the c=1 matrix model
1997, A30,  J.Phys., Aste & D"utsch & Scharf,  On Gauge Invariance and Spontaneous Symmetry Breaking
2000, B475,  Phys.Lett., Cavalcante & Cunha & de Fisica-UFC & Quimica-UECE),  Vortices in a nonminimal Maxwell-Chern-Simons O(3) Sigma Model
1997, B504,  Nucl.Phys., Hori & Ooguri & Vafa,  Non-Abelian Conifold Transitions and N=4 Dualities in Three Dimensions
1997, B408,  Phys.Lett., Seiberg,  Matrix Description of M-theory on $T^5$ and $T^5/Z_2$
1997, B28,  Acta Phys.Polon., Pelka,  Backreaction of excitations on a domain wall
1998, B516,  Nucl.Phys., Mann,  Charged Topological Black Hole Pair Creation
1997, A30,  J.Phys., Bazeia & Nascimento & Ribeiro & Toledo,  Soliton Stability in Systems of Two Real Scalar Fields
1997, B409,  Phys.Lett., de Wit & Peeters & Plefka,  Supermembranes with Winding
1997, B502,  Nucl.Phys., Carroll,  Space-wave function duality and enhanced dKdV on a Riemann surface
1998, D57,  Phys.Rev., Tiktopoulos,  Variational Wave Functionals in Quantum Field Theory
1998, D57,  Phys.Rev., Jizba,  Heat Bath Particle Number Spectrum
1997, A12,  Mod.Phys.Lett., Parkhomenko,  Poisson-Lie T-duality and N=2 superconformal WZNW models on compact  groups
1998, B510,  Nucl.Phys., Bowcock & Hayes & Taormina,  Characters of admissible representations of the affine superalgebra  sl(2|1)
1997, A12,  Mod.Phys.Lett., Wheeler,  Quanta Without Quantization
1997, D56,  Phys.Rev., Bousso & Hawking,  Trace Anomaly of Dilaton Coupled Scalars in Two Dimensions
1997, B508,  Nucl.Phys., Minahan & Nemeschansky & Warner,  Investigating the BPS Spectrum of Non-Critical E_n Strings
1998, B520,  Nucl.Phys., Dabholkar & Mandal & Ramadevi,  Nonrenormalization of Mass of Some Nonsupersymmetric String States
1998, B509,  Nucl.Phys., Kogan & Lewis,  Origin of Logarithmic Operators in Conformal Field Theories
1997, B414,  Phys.Lett., Bailin & Kraniotis & Love,  CP Violation By Soft Supersymmetry Breaking Terms in Orbifold  Compactifications
1997, B506,  Nucl.Phys., Moroz & Kamien,  Self-Avoiding Walks with Writhe
1998, B57,  Phys.Rev., Burgess & Lutken,  SO(5) Invariance and Effective Field Theory for High-Tc Superconductors
1998, D57,  Phys.Rev., Okano & Schuelke & Zheng,  Dynamic SU(2) Lattice Gauge Theory at Finite Temperature
1998, B12,  Int.J.Mod.Phys., Zheng,  Generalized Dynamic Scaling for Critical Magnetic Systems
1998, D57,  Phys.Rev., Zaidi & Gegenberg,  Back Reaction of Hawking Radiation on Black Hole Geometry
1997, D56,  Phys.Rev., Mikovic,  General Solution for Self-Gravitating Spherical Null Dust
1997, D56,  Phys.Rev., Colding & Nielsen & Verbin,  Physical Interpretation of Cylindrically Symmetric Static Gravitational  Fields
1997, D56,  Phys.Rev., Cho & Ji & Kim & Lee & Ryu,  Heisenberg-picture approach to the evolution of the scalar fields in an  expanding universe
1997, D56,  Phys.Rev., Lousto & Price,  Understanding initial data for black hole collisions
1998, B425,  Phys.Lett., Moretti & Iellici,  zeta-function regularization and one-loop renormalization of field  fluctuations in curved space-times
1997, B508,  Nucl.Phys., Aoki & Nagai & Zenkin,  Domain wall fermions with Majorana couplings
1997, A12,  Mod.Phys.Lett., Ambjorn & Anagnostopoulos & Bohr & NORDITA),  Singularities of the Partition Function for the Ising Model Coupled to  2d Quantum Gravity
1997, B505,  Nucl.Phys., DeGrand & Hasenfratz & Kovacs,  Topological Structure in the SU(2) Vacuum
1998, B423,  Phys.Lett., Borisenko & Chernodub & Gubarev,  Mass Gap, Abelian Dominance and Vortex Dynamics in SU(2) Spin Model
1997, B408,  Phys.Lett., Kakushadze & Shiu & Tye & Vtorov-Karevsky,  Phenomenology of 3-Family Grand Unified String Models
1997, D56,  Phys.Rev., Burkardt,  Mesons a in Collinear QCD Model
1997, B414,  Phys.Lett., karra & Rivers,  Initial Vortex Densities after a Temperature Quench
1997, D56,  Phys.Rev., Digal & Sengupta & Srivastava,  Vortex-Antivortex Pair Production in a First Order Phase Transition
1997, B413,  Phys.Lett., Elwood & Irges & Ramond,  A Model of Yukawa Hierarchies
1998, B419,  Phys.Lett., Kawamura & Kobayashi & Watanabe,  Probing mu-term Generation Mechanism in String Models
1998, B515,  Nucl.Phys., Fugleberg & Halperin & Zhitnitsky,  Condensates and Vacuum Structure of Adjoint QCD_2
1998, B510,  Nucl.Phys., Dimopoulos & Dvali & Rattazzi & Giudice,  Dynamical Soft Terms with Unbroken Supersymmetry
1997, D56,  Phys.Rev., Greene & Kofman & Linde & Starobinsky,  Structure of Resonance in Preheating after Inflation
1997, B410,  Phys.Lett., Dimopoulos & Dvali & Rattazzi,  Dynamical Inflation and Unification Scale on Quantum Moduli Spaces
1998, A13,  Mod.Phys.Lett., Ignatiev & Joshi,  Electron-positron annihilation into Dirac magnetic monopole and
1997, D56,  Phys.Rev., Greene & Prokopec & Roos,  Inflaton Decay and Heavy Particle Production with Negative Coupling
1997, B406,  Phys.Lett., Kusenko,  Phase transitions precipitated by solitosynthesis
1997, B506,  Nucl.Phys., Ambjorn & Krasnitz,  Improved determination of the classical sphaleron transition rate
1998, D57,  Phys.Rev., Cleaver & Cvetic & Espinosa & Everett & Langacker,  Intermediate Scales, Mu Parameter, and Fermion Masses from String Models
1997, D56,  Phys.Rev., Kaplan & Lepeintre & Schmaltz,  Flavor from Strongly Coupled Supersymmetry
1997, B412,  Phys.Lett., Antonuccio & Brodsky & Dalley,  Light-Cone Wavefunctions at Small $x$
1997, D56,  Phys.Rev., Hisano & Shifman,  Exact Results for Soft Supersymmetry Breaking Parameters in  Supersymmetric Gauge Theories
1997, B407,  Phys.Lett., Buchmuller & Jakovac,  Classical Statistical Mechanics and Landau Damping
1997, B412,  Phys.Lett., Ezawa & Matsuo & Murakami,  BPS Configuration of Supermembrane With Winding in M-direction
1998, B15,  To be published in Phys. Rev., Setlur & Chang,  Single-Particle Green Functions in Exactly Solvable Models of Bose and  Fermi Liquids
1997, B408,  Phys.Lett., Dorey & Khoze & Mattis & Slater & Weir,  Instantons, Higher-Derivative Terms, and Nonrenormalization Theorems in  Supersymmetric Gauge Theories
1997, A12,  Mod.Phys.Lett., Nojiri & Odintsov,  Trace Anomaly and Non-Local Effective Action for 2D Conformally  Invariant Scalar Interacting with Dilaton
1998, D57,  Phys.Rev., Dunne & Feinberg,  Self-Isospectral Periodic Potentials and Supersymmetric Quantum  Mechanics
1997, B409,  Phys.Lett., Giovanni & Grisaru & Rocek & Unge & Zanon,  The N=2 Super Yang-Mills Low-Energy Effective Action at Two Loops
1997, B411,  Phys.Lett., Cornalba & Wilczek,  Mass Splittings From Symmetry Obstruction
1997, D56,  Phys.Rev., Mueller,  Decay of accelerated particles
1997, B411,  Phys.Lett., Guida & Magnoli,  Vacuum Expectation Values from a variational approach
1998, B511,  Nucl.Phys., Kim & Rothe,  BFT Hamiltonian Embedding of Non-Abelian Self-Dual Model
1998, D57,  Phys.Rev., Dabrowski & Larsen,  Strings in Homogeneous Background Spacetimes
1998, B515,  Nucl.Phys., Welling,  Explicit solutions for Point Particles and Black Holes in spaces of  constant curvature in 2+1-D Gravity
1998, B520,  Nucl.Phys., Lee & Yi,  A Family of N=2 Gauge Theories with Exact S-Duality
1998, B513,  Nucl.Phys., Lawrence & Nekrasov,  Instanton sums and five-dimensional gauge theories
1998, B530,  Nucl.Phys., Wakimoto,  A construction of N=2 and centerless N=4 superconformal fields via  affine superalgebras
1997, B411,  Phys.Lett., Fujikawa & Okuyama,  On a Lorentz covariant matrix regularization of membrane theories
1998, A13,  Int.J.Mod.Phys., Brax & Turok,  Exponentially Small Couplings between Twisted Fields of Orbifold String  Theories
1998, D57,  Phys.Rev., Gabriel & Spindel & Massar & Parentani,  Interacting Charged Particles in an Electric Field and the Unruh Effect
1998, B510,  Nucl.Phys., Bakas & Bourdeau & Cardoso,  Supersymmetric Solutions in Three-Dimensional Heterotic String Theory
1998, A31,  J.Phys., Fu & Sasaki,  Probability Distributions and Coherent States of $B_r$, $C_r$ and $D_r$  Algebras
1997, B413,  Phys.Lett., Brax & Turok,  Exponentially Small Couplings and the Hierarchy Problem
1997, B409,  Phys.Lett., Bilke & Burda & Petersson,  Universality of hypercubic random surfaces
1998, B514,  Nucl.Phys., Anazawa & Ishikawa & Tanaka,  Interaction of boundaries with heterogeneous matter states in matrix  models
1997, B503,  Nucl.Phys., Gato-Rivera & Rosado,  Chiral Determinant Formulae and Subsingular Vectors for the N=2  Superconformal Algebras
1997, D56,  Phys.Rev., Weinberg,  Effective Field Theories in the Large $N$ Limit
1998, A13,  Int.J.Mod.Phys., Marnelius & Sogami,  Generalized BRST Quantization and Massive Vector Fields
1998, B509,  Nucl.Phys., Youm,  Entropy of Non-Extreme Rotating Black Holes in String Theories
1998, B509,  Nucl.Phys., Hanany & Zaffaroni,  Chiral Symmetry from Type IIA Branes
1998, D57,  Phys.Rev., Kallosh & Rahmfeld & Wong,  One-Loop Supergravity Corrections to the Black Hole Entropy and Residual  Supersymmetry
1998, A13,  Int.J.Mod.Phys., Gasperini,  Low-energy quantum string cosmology
1998, B520,  Nucl.Phys., Kakushadze & Shiu,  4-D Chiral N=1 Type I Vacua With And Without D5-Branes
1997, B504,  Nucl.Phys., Oota,  q-deformed Coxeter element in Non-simply-laced Affine Toda Field  Theories
1997, B411,  Phys.Lett., Forste & Ghoshal & Panda,  An orientifold of the solitonic fivebrane
1998, C5,  Eur.Phys.J., Du,  Higher-derivative supergravity in U(1) superspace
1998, D58,  Phys.Rev., Fujita & Takahashi,  Finite size corrections in massive Thirring model
1997, B409,  Phys.Lett., Granda & Odintsov,  Exact Renormalization Group for O(4) Gauged Supergravity
1997, D56,  Phys.Rev., Hahm & Han & Shin,  Composite Skyrme Model with Vector Mesons
1998, C5,  Eur.Phys.J., Chaichian & Chen & Fainberg,  On Quantum Corrections to Chern-Simons Spinor Electrodynamics
1997, B411,  Phys.Lett., Neves,  D-Instantons in Non-Critical Open String Theory
1997, D56,  Phys.Rev., Becker & Becker & Polchinski & Tseytlin,  Higher Order Graviton Scattering in M(atrix) Theory
1998, B525,  Nucl.Phys., Ho & Li & Wu,  P-P' Strings in M(atrix) Theory
1997, B410,  Phys.Lett., Dotti & Manohar,  Anomaly Matching Conditions in Supersymmetric Gauge Theories
1998, B519,  Nucl.Phys., Terashima & Yang,  ADE Confining Phase Superpotentials
1998, B509,  Nucl.Phys., Ivanov & Ketov & Zupnik,  Induced hypermultiplet self-interactions in N=2 gauge theories
1998, D57,  Phys.Rev., Ketov,  On the next-to-leading-order correction to the effective action in N=2  gauge theories
1998, E57,  Phys.Rev., Caiani & Casetti & Clementi & Pettini & Pettini & SISSA/ISAS & Trieste & Italy & Superiore & Pisa & Italy & Theorique & de Geneve & Switzerland & Fisica & Firenze & Italy & Arcetri & Italy),  Geometry of dynamics and phase transitions in classical lattice phi^4  theories
1998, D57,  Phys.Rev., Awata & Chaudhuri & Li & Minic,  Many-body Dynamics of D0--Branes
1997, B414,  Phys.Lett., Stephens & Vieyra & Weber & Hess,  Regge Behaviour from an Environmentally Friendly Renormalization Group
1998, B527,  Nucl.Phys., Kim,  Classical and Quantum Wormholes in Einstein-Yang-Mills Theory
1997, A30,  J.Phys., Miwa & Weston,  The Monodromy Matrices of the XXZ Model in the Infinite Volume Limit
1997, B508,  Nucl.Phys., Fayyazuddin & Spalinski,  The Seiberg-Witten Differential From M-Theory
1998, B431,  Phys.Lett., Tetradis,  Renormalization-group study of weakly first-order phase transitions
1997, D56,  Phys.Rev., Kovner & Shifman & Smilga,  Domain Walls in Supersymmetric Yang-Mills Theories
1998, B521,  Nucl.Phys., Martin & Restuccia & Torrealba,  On the Stability of Compactified D=11 Supermembranes
1998, B510,  Nucl.Phys., Rasmussen,  Free Field Realizations of Affine Current Superalgebras, Screening  Currents and Primary Fields
1998, B417,  Phys.Lett., Andreas & Curio,  Three-Branes and Five-Branes in N=1 Dual String Pairs
1997, B410,  Phys.Lett., Bergshoeff & Cowdall & Townsend,  Massive IIA supergravity from the topologically massive D-2-brane
1997, B508,  Nucl.Phys., Behrndt & Gaida & Lust & Mahapatra & Mohaupt,  From Type IIA Black Holes to T-dual Type IIB D-Instantons in N=2, D=4  Supergravity
1997, D56,  Phys.Rev., Bellisai & Fucito & Matone & Travaglini,  Non-holomorphic terms in N=2 SUSY Wilsonian actions and RG equation
1997, D56,  Phys.Rev., Gubser,  Absorption of photons and fermions by black holes in four dimensions
1997, D56,  Phys.Rev., Teo & Ting,  Monopoles, vortices and kinks in the framework of non-commutative  geometry
1998, B432,  Phys.Lett., Bak & Lee,  Moduli Space Dynamics of a First-Order Vortex System
1998, A13,  Int.J.Mod.Phys., Grimm & Hasler & Herrmann,  The N=2 vector-tensor multiplet, central charge superspace, and  Chern-Simons couplings
1997, B507,  Nucl.Phys., Witten,  Branes And The Dynamics Of QCD
1996, B369,  Phys.Lett., Kim,  Exotic Solutions in Einstein-Antisymmetric Tensor Theory
1998, A13,  Mod.Phys.Lett., Ushveridze,  Quasi-Exactly Solvable Deformations of Gaudin Models and ``Quasi-Gaudin  Algebras''
1997, B508,  Nucl.Phys., Lee & Rey,  Absorption and Recoil of Fundamental String by D-String
1998, B432,  Phys.Lett., Apikyan & Efthimiou,  The Conformal Properties of Liouville Field Theory on Z_N-Riemann  Surfaces
1997, B410,  Phys.Lett., Bergshoeff & Janssen & Ortin,  Kaluza-Klein Monopoles and Gauged Sigma-Models
1997, D56,  Phys.Rev., Henneaux & Knaepen,  All consistent interactions for exterior form gauge fields
1997, B414,  Phys.Lett., Rabinovici & Schellekens,  On the classification of (2,1) heterotic strings
1997, B412,  Phys.Lett., de Barros & de Fora & Brazil & Institute & Russia),  Renormalization group study of the higher derivative conformal scalar  model
1997, B412,  Phys.Lett., Duff & Evans & Khuri & Lu & Minasian,  The Octonionic Membrane
1997, A12,  Mod.Phys.Lett., Ellis & Mavromatos & Nanopoulos,  M Theory from World-Sheet Defects in Liouville String
1998, D57,  Phys.Rev., Fulcher,  Flavor independence and the dual superconducting model of QCD
1997, B410,  Phys.Lett., Brandhuber & Itzhaki & Kaplunovsky & Sonnenschein & Yankielowicz,  Comments on the M Theory Approach to N=1 SQCD and Brane Dynamics
1997, L169,  Class.Quant.Grav., Dowker & Kirsten,  Heat-kernel coefficients for oblique boundary conditions
1998, B520,  Nucl.Phys., Hofman & Park,  Monads, Strings, and M Theory
